Company,Investory Type,Portfolio,Category
Fairbridge VC,Investor,"Fairbridge VC, specifically Fairbridge Park, is a US-based venture capital fund operating in New York. The current companies in their active portfolio are not explicitly listed in the provided sources. However, Fairbridge Park's last known investment was in Forte on December 18, 2023, which places it within the active category as of February 2025[3].

For a comprehensive list of their current portfolio companies, you would need to refer to their official website or recent updates from Fairbridge Park. The sources provided do not include a detailed list of their active portfolio companies.","Fairbridge VC invests in companies that address critical discrepancies in access to essential services and resources, particularly in health, wealth, and sustainability. The specific categories of companies they invest in include:

- **Healthcare**
- **Financial Services**
- **Sustainable Food Systems**

These investments are aimed at enhancing human progress and eliminating access gaps in these foundational areas[2]."
Fika Bio,Investor,"The query provided does not specify that Fika Bio is a separate entity from Fika Ventures, and the sources do not provide a list of companies currently in the active portfolio of Fika Bio. However, Fika Ventures, which is mentioned in the sources, is a seed fund investing in data, AI, and automation technologies, primarily focusing on B2B startups and fintech companies[1][3].

If you are looking for information on Fika Bio specifically, it is not detailed in the provided sources. For accurate and up-to-date information on the companies in Fika Bio's portfolio, you would need to refer to more recent or specific sources that mention Fika Bio's investments.","Fika Ventures is not specifically identified as ""Fika Bio"" in the provided sources. However, Fika Ventures is a LA-based seed-stage fund that focuses on B2B startups and fintech companies[3]. There is no information available about a specific portfolio of companies under the name ""Fika Bio"" operating in and around New York.

If you are referring to Fika Ventures, the categories of companies they invest in are:
- B2B startups
- Fintech companies[3]"
FirstMark Capital,Investor,"FirstMark Capital's current portfolio includes the following companies:

- **Pinterest**
- **Shopify**
- **Airbnb**
- **Discord**
- **Riot Games**
- **DraftKings**
- **Dataiku**
- **Upwork**
- **Unity**
- **Uber**
- **Datadog**
- **PowerSchool**
- **Medallia**
- **BambooHR**
- **Optimizely**
- **CyberArk**

These companies are listed across various sources, including Dealroom.co and CB Insights[2][3].","FirstMark Capital invests in early-stage technology companies, particularly those with transformative potential. The specific companies in their portfolio include:

- **Technology and Software**: Pinterest, Shopify, Airbnb, Discord, Riot Games, and DraftKings[2][4].

These companies are primarily in the technology and software sectors."
Foothill Ventures,Investor,"Foothill Ventures, a technology-focused venture fund based in Los Altos, California, has a diverse portfolio of companies. Here is a list of some of the companies currently in their active portfolio:

1. **Feon** - Develops next-generation lithium batteries enabled by revolutionary electrolyte molecules[1].
2. **Next-generation GAN semiconductors for power management and 5G RF transmitters**[1].
3. **Automated forklift for loading and unloading**[1].
4. **Smart voice agent aimed at small business owners**[1].
5. **Developer of next-generation anode material development for lithium-ion batteries**[1].
6. **Builds computer vision and AI applications for smart city management**[1].
7. **Develops NFT video generation infrastructure enabling virtual character video conferencing and NFT characters content creation**[1].
8. **Develops ultra high speed, power efficient and scalable electro-optic integrated circuits**[1].
9. **Deploys a HIPAA-compliant all-in-one communication platform for clinical teams**[1].
10. **The World’s First High-Acuity Spherical Bionic Retina**[1].
11. **AI-driven data privacy management using AI-powered privacy-enhancing technologies to secure the circulation of sensitive documents when shared with GenAI and third parties**[1].
12. **Agentic AI to drive new sales and revenue through customer connection**[1].
13. **Design high power-efficiency edge computing AI chips**[1].
14. **Developer of the first portable and automated ultrasound scanner**[1].
15. **Jacobi Robotics provides a software platform to accelerate robotic applications development, with an initial focus on motion planning**[1][2].
16. **Provides cost-efficient cloud-based file storage system**[1].
17. **Develops a highly automated system to modernize the agriculture industry**[1].
18. **Laminar offers a disposable wearable patch for continuous, high-accuracy blood flow and pressure monitoring**[1].

Please note that the list might not be exhaustive, as the sources do not provide a comprehensive list of all companies in their portfolio. However, these are the specific companies mentioned in the provided sources[1][2][4].","Foothill Ventures invests in the following categories of companies:

- **Seed Stage Companies with Technical Differentiation**
  - Next-generation lithium batteries
  - Next-generation GAN semiconductors
  - Automated forklifts
  - Smart voice agents
  - Next-generation anode material development for lithium-ion batteries
  - Computer vision and AI applications for smart city management
  - NFT video generation infrastructure
  - Ultra-high speed, power-efficient, and scalable electro-optic integrated circuits
  - HIPAA-compliant all-in-one communication platform for clinical teams
  - High-acuity spherical bionic retina
  - AI-driven data privacy management
  - Agentic AI for customer connection
  - High power-efficiency edge computing AI chips
  - Portable and automated ultrasound scanner
  - Software platform for robotic applications development
  - Cost-efficient cloud-based file storage system
  - Highly automated system for modernizing the agriculture industry
  - Disposable wearable patch for continuous blood flow and pressure monitoring[1].

These investments span various technological and innovative sectors, including energy, semiconductors, robotics, AI, healthcare, and more."
FUJI Innovation Lab,"Industry, Strategic, Investor","The provided sources do not mention FUJI Innovation Lab or its portfolio of companies. However, FUJI Innovation Lab is mentioned in the context of robotics and automation, but no specific companies are listed as part of its portfolio[5]. 

For accurate information on the companies in FUJI Innovation Lab's portfolio, you would need to refer to their official website or recent press releases.","The FUJI Innovation Lab primarily focuses on collaborating with startups in the robotics and automation sectors, particularly in the electronic devices and automotive industries. The specific companies in their portfolio are not detailed in the provided sources, but the categories of companies they typically invest in or collaborate with include:

- **Robotics and Automation**
- **Electronic Devices**
- **Automotive Industry**

These collaborations often involve the Venture Client Model, where FUJI Innovation Lab supports startups through pilot projects, potentially leading to further investment opportunities[3]."
Golden Seeds,Investor,"The current companies in the portfolio of Golden Seeds are not explicitly listed in the provided sources. However, Golden Seeds has invested over $185 million in more than 250 companies, and they have a diverse group of investments across various sectors and geographic regions, as mentioned in their website[2]. For a comprehensive list of current companies, you would need to refer to their latest investment updates or their companies archive, which is not detailed in the given sources. 

For the most accurate and up-to-date information, you should visit Golden Seeds' official website or contact them directly.","Golden Seeds invests in a diverse group of companies across various sectors. Here are some of the categories of companies they have invested in:

- **Software and Technology**: Companies like Work Truck Solutions, Cirrus Identity, and Phylagen[1][2].
- **Fashion and Apparel**: Companies like Carbon38, Rumi Spice, and Zady[2].
- **Health and Wellness**: Companies like meQuilibrium and Kuli Kuli[2].
- **Sustainability and Environment**: Companies like Practically Green and Zero Electric Vehicles[2].
- **Food and Beverage**: Companies like Travelling Spoon[2].
- **Education and Training**: Companies like CourseHorse[2].
- **Financial Services**: Companies like PayPerks[2].
- **Healthcare and Medical Technology**: Companies like Urgent Consult[2].
- **Retail and E-commerce**: Companies like TomBoyX[2].

These categories are not exhaustive, as Golden Seeds invests in a wide range of sectors and geographic regions[2]."
Goldman Sachs,Industry/Strategic,"Goldman Sachs has not publicly disclosed a comprehensive list of all companies currently in their active portfolio. However, based on recent announcements and strategic initiatives, here are some key entities and funds associated with Goldman Sachs:

1. **Capital Solutions Group**: This group combines and grows Goldman Sachs' comprehensive suite of financing, origination, structuring, and risk management activities in Global Banking & Markets[2].
2. **G-Series**: This includes the G-PE fund, part of Goldman Sachs Alternatives' suite of open-ended private equity funds[4].
3. **Custom Model Portfolios**: Goldman Sachs Asset Management has introduced new custom public-private model portfolios in partnership with GeoWealth and iCapital, available to Registered Investment Advisors[1].

For a detailed and up-to-date list of companies in their active portfolio, you would need to refer to Goldman Sachs' latest financial reports or press releases, which may not be publicly available in real-time.","Goldman Sachs operates in various sectors through its different divisions. Here are the categories of companies they invest in:

- **Public and Private Investments**: Goldman Sachs Asset Management introduces custom public-private model portfolios for Registered Investment Advisors in partnership with GeoWealth and iCapital[1].
- **Financing, Origination, Structuring, and Risk Management**: The Capital Solutions Group combines and grows its comprehensive suite of financing, origination, structuring, and risk management services[2].
- **Alternatives**: Goldman Sachs Alternatives launches the G-PE fund, part of its 'G-Series' suite of open-ended private equity funds[4].
- **Private Equity**: While not explicitly mentioned, Goldman Sachs is involved in private equity through its Capital Solutions Group and other initiatives, similar to other top private equity firms in New York, such as Morgan Stanley Capital Partners and One Equity Partners, which focus on technology, manufacturing, healthcare, and financial services[5].

These categories reflect the diverse investment strategies of Goldman Sachs in the US, particularly around New York."
Hi2 Global,Investor,"Hi2 Global's portfolio includes the following companies, but it does not specify the companies currently in their active portfolio in the provided sources. However, it is mentioned that Hi2 Global invests in various sectors including fintech, consumer-tech, clean-tech, and health-tech through its Emerging Tech Fund, and also in consumer financing, financial leasing, and supply chain financing through its Private Credit Fund[1][3].

For a precise list of current companies in their active portfolio, additional specific information or a recent update from Hi2 Global would be necessary. The sources provided do not include a detailed list of current portfolio companies.","Hi2 Global invests in the following categories of companies:

- **Consumer Financing**
- **Financial Leasing**
- **Supply Chain Financing**
- **Early-stage Venture Capital** (including fin-tech, consumer-tech, clean-tech, and health-tech)
- **Private Credit Fund** (short-term loans in emerging markets)

These investments are primarily focused on emerging markets such as Southeast Asia, Africa, and South America, as well as the United States[1][2]."
Hivemind Capital,Investor,"Hivemind Capital Partners' current portfolio includes the following companies:

1. **Fnatic** - One of the world's most valuable esports brands.
2. **Edgen** - An AI-powered co-pilot for crypto trading.
3. **GFO-X** - The UK's first regulated and centrally cleared trading venue dedicated to digital asset derivatives.
4. **Helium Blockchain** - Incentivizes the creation of new, decentralized, and public wireless networks.
5. **Hiro** - Builds developer tools for Stacks to enable applications for Bitcoin.
6. **Moonveil Entertainment** - A web3 game studio using cutting-edge technology to create authentic gaming experiences.
7. **RD Technologies Group (RD Technologies)** - Bridges the Web2 and Web3 worlds with a financial platform.
8. **SOFA.org** - A non-profit DAO dedicated to developing a comprehensive asset settlement framework on-chain.
9. **TRLab** - A fine art collectible platform fusing technology with fine art expertise to pioneer the future of collecting.
10. **Trust Machines** - Building the largest ecosystem of Bitcoin applications[2].","Hivemind Capital Partners invests in the following categories of companies:

- **Web3 and Blockchain Technology**
- **Esports Brands**
- **Digital Asset Derivatives**
- **AI-Powered Crypto Trading**
- **Decentralized Wireless Networks**
- **Developer Tools for Bitcoin**
- **Web3 Game Studios**
- **Fine Art Collectible Platforms**
- **NFT Marketplaces**
- **Bitcoin Application Ecosystems**

These categories include companies like Fnatic, GFO-X, Edgen, Helium, Hiro, Moonveil Entertainment, RD Technologies Group, SOFA.org, TRLab, and Trust Machines[1][2]."
Informed Ventures,Investor,"Informed Ventures' current portfolio includes the following companies:

- **Medable**
- **Nimble**
- **AppliedVR**
- **HealthRhythms**

These companies are primarily focused on digital health and technology[3][4][5].","Informed Ventures invests in the following categories of companies:

- **Digital Health**
- **Software as a Service (SaaS)**
- **Consumer Products and Services**
- **Vertical Applications of AI**[3][4][5]"
Innospark Ventures,Investor,"Innospark Ventures has about 30 companies in their portfolio, with the following companies listed as part of their active portfolio:

1. **Olaris** - Series B - II investment[2]
2. **Encora** - Non-invasive wristband device using AI for Parkinson’s patients[2]
3. **Zorus** - B2B enterprise software[3]
4. **VideaHealth** - B2B health and medical devices[3]
5. **Kreedo** - B2C music[3]

Note that the exact list of all 30 companies is not provided in the sources, but these are some of the companies mentioned as part of their portfolio.","Innospark Ventures invests in Applied AI and Deep Technology across the following categories:

- **Healthcare**: AI is revolutionizing healthcare with personalized care, seamless access, and equitable solutions.
- **Life Sciences**: AI is driving breakthroughs in life sciences, reshaping how we discover, develop, and deliver solutions for human health and the world around us.
- **Enterprise**: AI is transforming enterprise by unlocking scale, efficiency, and innovation to tackle complex challenges and shape the future[3]."
Insight Partners,Investor,"Insight Partners has a diverse portfolio of companies, but the specific list of current companies in their active portfolio is not provided in the search results. However, they have been recognized for their involvement with several notable companies, including:

- **Acryl Data**
- **Bardeen**
- **Coast**
- **Dazz**
- **Deepfactor**
- **Deno**
- **Dragonboat**
- **Fermyon Technologies**
- **Inteseye**
- **Kubit**
- **Promethium**
- **Rasgo**
- **Rattle**
- **Resolve**
- **Shipium**
- **Silk Security**
- **Snappt**
- **Sware**

These companies were recognized on Will Reed’s list of the Top 100 Early-Stage Companies to Work For in 2023[3]. For the most up-to-date and comprehensive list of their current portfolio companies, it is recommended to visit Insight Partners' official website or contact them directly[1].","Insight Partners invests in high-growth technology, software, and Internet startup and ScaleUp companies[1][5]."
Interwoven Ventures,Investor,"Interwoven Ventures' current portfolio includes the following companies:

1. **Chef Robotics** - Invested in Seed VC - III on January 26, 2024[2].
2. **Proscia** - No specific investment details are provided, but it is listed as a portfolio company[3].

Note: The exact number of companies in their portfolio might be more extensive, but these are the specific companies mentioned in the available sources.","Interwoven Ventures invests in companies operating in the fields of **robotics, artificial intelligence, and healthcare technology**[1][3]."
Irregular Expressions,Investor,"The current companies in the portfolio of Irregular Expressions are:

1. **Prowler** - prowler.com
2. **Kurrent** - kurrent.io
3. **DoubleO** - doubleo.ai
4. **Otti** - otti.com

These companies are listed as part of Irregular Expressions' portfolio as of March 28, 2025[3].","Irregular Expressions invests in early-stage startups primarily in the categories of **infrastructure, data, and machine learning**[2]."
J17 Venture,Investor,"The information provided does not specify the current companies in the portfolio of J17 Venture, which is distinct from J17 Capital. However, J17 Capital is mentioned to have a focus on growth equity investments in the North America and Asia markets, including the middle market to late-stage entities[1][4]. There is no specific mention of companies in their active portfolio in the provided sources.

For accurate and up-to-date information on the current portfolio of J17 Venture, you would need to refer to their official resources or recent press releases.","J17 Capital, not J17 Venture, is the entity mentioned in the sources. J17 Capital is an international private equity fund that invests in companies within the North America and Asia markets, particularly focusing on growth equity investments in middle market to late-stage entities[1][3]. The specific companies in their portfolio are not detailed in the provided sources, but the category of companies they invest in is growth equity, targeting middle market to late-stage entities[1][3]."
Jeongja,Investor,"The current companies in Jeongja's portfolio, as described in the NY 529 Target Enrollment 2034 fund, are:

1. **Vanguard Total Stock Market Index Fund** - 35.40%
2. **Vanguard Total International Stock Index Fund** - 23.60%
3. **Vanguard Total Bond Market II Index Fund** - 28.70%
4. **Vanguard Total International Bond Index Fund** - 12.30%

These funds are part of the Vanguard mutual funds used in the NY 529 Target Enrollment 2034 portfolio[2].","Based on the provided sources, it is not possible to identify specific companies in Jeongja's portfolio without additional information. However, here are some categories of companies and investment platforms that might be relevant for an investor in the US, operating in and around New York:

- **Yieldstreet**: Real Estate, Private Credit, Private Equity, Short Term Notes, Venture Capital, Diversified Funds, Art, Legal Finance[1].
- **J.P. Morgan Asset Management**: Cash, Income, Growth buckets[2].
- **New York Life Insurance**: Mutual Funds (diversified across stocks, bonds, and other options)[3].
- **VanEck**: Natural Resources, Emerging Markets, Gold through mutual funds, ETFs, and institutional solutions[4].

These categories can help guide an investor in diversifying their portfolio, but specific company names would require more detailed information about Jeongja's investment strategy and holdings."
Johnson & Johnson,Industry/Strategic,"Johnson & Johnson's current portfolio includes the following companies and products:

1. **TREMFYA** - for the treatment of psoriatic arthritis and plaque psoriasis[4][5].
2. **RYBREVANT plus LAZCLUZE** - for the treatment of non-small-cell lung cancer[4].
3. **OTTAVA** - a soft tissue surgical robotic system[5].
4. **CAPLYTA** - a treatment for major depressive disorder, acquired through the Intra-Cellular Therapies acquisition[4].

These are the key assets mentioned in the recent financial reports and press releases. The company's diversified portfolio also includes other pharmaceuticals and medical devices, but these are the specific ones highlighted in the provided sources.","Johnson & Johnson's strategic investments in the US, particularly around New York, are primarily focused on the healthcare and biotechnology sectors. The company invests in various areas, including:

- **Biologics Manufacturing**: Expanding capacity to produce next-generation medicines for cancer, immune-mediated, and neurological diseases[5].
- **Research and Development (R&D)**: Boosting R&D, technology, and manufacturing investments to more than $55 billion over the next four years[5].
- **Neuroscience Portfolio**: Enhancing its leading neuroscience portfolio with the completion of the Intra-Cellular Therapies acquisition[2].
- **Innovation in Healthcare**: Fortifying its position as an innovation powerhouse with major advancements across its pipeline, including treatments for IBD, non-small-cell lung cancer, and soft tissue surgical robotic systems[2].

These investments align with Johnson & Johnson's strategic focus on advancing healthcare innovation and expanding its capabilities in the US."
Jumpspace Ventures,Investor,"The current companies in the active portfolio of Jumpspace Ventures, which is an early-stage venture capital firm focused on neurotech and healthcare deep tech, are:

- **Phantom Neuro** (completed a $19 million investment on 04/15/2025)[1]","Jumpspace Ventures primarily invests in neurotech and healthcare-related deep tech companies[1]. 

### Categories of Companies in the Portfolio:
- **Neurotech**
- **Healthcare-related Deep Tech**"
K2 Growth Partners,Investor,"The provided sources do not explicitly list the current companies in the active portfolio of K2 Growth Partners. However, K2 Growth Partners is described as an investor that utilizes a bench of operators with experience tailored to each investment to help add real value to growing businesses, but specific portfolio companies are not mentioned[1]. 

For a comprehensive list of companies in their active portfolio, you would need to refer to more recent or specific financial reports from K2 Growth Partners.","K2 Growth Partners invests in a wide range of industries, but specific companies in their portfolio are not detailed in the provided sources. However, it is mentioned that they utilize their bench of operators with experience tailored to each investment to help add real value to growing businesses[1]. 

Therefore, the category of companies they invest in is **various industries**, including but not limited to family-owned businesses, without specific details on current portfolio companies."
Kallyope,Industry/Strategic,"The current portfolio of Kallyope, a biotechnology company focused on the gut-brain axis, includes the following companies as of the latest available information:

- **Kallyope, Inc.** (the company itself)
- **DNS Capital**
- **Hartford Healthcare Endowment**
- **Parkwood LLC**
- **Tao Capital**

These companies are part of Kallyope's active portfolio, as indicated by the recent $236 million Series D financing[5]. However, it is essential to note that the specific companies listed are primarily investors in Kallyope rather than portfolio companies. Kallyope's primary focus is on developing therapeutics for conditions like type 2 diabetes, obesity, and migraine[3][4]. 

For a comprehensive list of Kallyope's investment history, you would need to refer to the specific investments and partnerships they have established, which are not detailed in the provided sources. Two Sigma Ventures, for instance, is mentioned as an investor but not as a portfolio company[1].","Kallyope is a biotechnology company focused on developing therapeutics for metabolic, neurological, and gastrointestinal diseases. The company leverages its Klarity™ platform to discover medicines that address conditions such as obesity, diabetes, migraines, and celiac disease through the exploration of the gut-brain axis[3].

The category of companies Kallyope invests in includes:
- **Biotechnology**
- **Therapeutics**
- **Metabolic Diseases**
- **Neurological Diseases**
- **Gastrointestinal Diseases**

Kallyope's investment focus is on developing oral, small-molecule therapeutics for these conditions[3]."
L'ATTITUDE Ventures,Investor,"The current companies in the portfolio of L'ATTITUDE Ventures are not explicitly listed in the provided sources. However, the sources do provide information on the types of companies and sectors they invest in:

- **Technology-Enabled Businesses**: Software or tech-enabled businesses[2].
- **Fintech & Financial Services**: Companies in the fintech sector[3].
- **Consumer Goods & Electronics**: Companies in consumer goods and electronics[3].
- **Food & Beverage**: Companies in the food and beverage sector[3].
- **E-commerce & Retail**: Companies in e-commerce and retail[3].
- **Hardware, Robotics & IoT**: Companies in hardware, robotics, and IoT[3].
- **Natural Resources**: Companies in natural resources[3].
- **Biotech**: Companies in biotech[3].
- **AI & Deep Tech**: Companies in AI and deep tech[3].
- **CleanTech & Sustainability**: Companies in clean tech and sustainability[3].

Specific company names are not provided in the sources. For the most up-to-date information, you would need to visit the L'ATTITUDE Ventures website or contact them directly.","L'ATTITUDE Ventures invests in the following categories of companies:

- **Technology-Enabled**
- **Software or Tech-Enabled Business**
- **Fintech & Financial services**
- **Consumer Goods & Electronics**
- **E-commerce & Retail**
- **Hardware, Robotics & IoT**
- **Biotech**
- **AI & Deep Tech**
- **CleanTech & Sustainability**

These categories are based on the information provided in the sources[1][2][3]."
Laconia Capital,Investor,"Laconia Capital Group's current portfolio includes the following companies:

1. **AutoFi** - An online, white-label, point-of-sale platform[2].
2. **Ease Capital** - A proptech company recognized by Business Insider as one of the Hottest Proptech companies[3].
3. **Tendercare** - A company reshaping caregiving, led by CEO Shauna Sweeney, featured on CNBC[3].
4. **Quotient** - A company led by CEO Lizzie Matusov, named to Inc's Female Founders 500 list[3].
5. **Auxa Health** - A digital health company driving innovation in care management, recognized by Digital Health New York for the third year in a row[3].
6. **Yuvo Health** - A digital health company empowering community health centers, recognized by Digital Health New York for the third year in a row[3].
7. **Sunairio** - A company featured in pv magazine Global, with a high-resolution climate simulation platform[3][4].

These companies are actively supported by Laconia Capital Group.","Laconia Capital Group invests in the following categories of companies:

- **Proptech**: Ease Capital
- **Healthcare**: Auxa Health, Yuvo Health, Tendercare, Sunairio
- **Fintech/Point-of-Sale**: AutoFi
- **Healthcare Technology**: Quotient

These companies are primarily based in the US and operate in and around New York[2][3]."
Legendary Ventures,Investor,"Legendary Ventures' current portfolio companies are not explicitly listed in the provided sources. However, notable investments mentioned include SpaceX, Pinterest, and ToyBox Labs[2]. For the most up-to-date information on their active portfolio, it is recommended to visit their official website or contact them directly[1][4].","Legendary Ventures invests in the following categories of companies:

- **Consumer Retail Technology**
- **Artificial Intelligence & Machine Learning (AI/ML)**
- **Consumer Electronics**
- **Hardware**
- **Software**

Notable specific companies in their portfolio include:
- **SpaceX**
- **Pinterest**
- **ToyBox Labs**
- **XFROST**[2][3]"
Legrand,NYU,"Legrand is not a private equity firm and does not operate in the private equity space. It is a global electrical equipment company listed on the Euronext Paris stock exchange. Therefore, it does not have a portfolio of private equity companies. However, Legrand has recently acquired Performation, a health IT software company, as part of its broader strategy to expand its connected care ecosystem[2]. 

For the list of private equity firms in New York, you can refer to the sources provided:

- **Arsenal Capital Partners**
- **Behrman Capital**
- **Morgan Stanley Capital Partners**
- **One Equity Partners**[1].","Legrand, a French company operating in electrical and digital building infrastructures, does not have a portfolio of companies in the US that are categorized by private equity firms operating in New York. However, Legrand has made strategic acquisitions, such as the health IT software company Performation, which is part of Legrand's connected care ecosystem[5]. The category of companies Legrand invests in includes health IT and digital health solutions.

For private equity firms in New York, the categories include:
- Healthcare
- Technology
- Industrial services
- Consumer services
- Financial services[3]."
London Stock Exchange,"Industry/Strategic, Investor","The current companies in the portfolio of London Stock Exchange, as listed in the latest portfolio update, are:

1. **XPS Pensions** - 2.9%
2. **Breedon** - 2.7%
3. **IntegraFin** - 2.7%
4. **Hill & Smith** - 2.3%
5. **Bloomsbury Publishing** - 2.3%
6. **Alpha Group** - 2.3%[3].","The current companies in the portfolio of London Stock Exchange (LSEG) that are relevant to the query are not explicitly listed in the provided sources. However, LSEG's portfolio includes a variety of companies across different sectors, such as:

- **Data & Analytics**: This includes companies involved in executing critical investing, trading, and risk decisions[5].
- **FTSE Russell**: Provides indices for asset allocation decisions, portfolio construction, risk, and performance analysis[5].
- **FX**: Offers trading venues, platforms, insights, data, and compliance tools for the FX community[5].
- **Risk Intelligence**: Helps manage risk and reduce time-to-revenue for new clients[5].
- **Post Trade**: Provides risk management, optimization, and regulatory solutions for operations efficiency and capital cost savings[5].

For specific US-based companies operating in and around New York, the sources do not provide detailed information. However, JPMorgan Global Core Real Assets Limited (JARA) is mentioned, but it is not specified as a US-based company in the provided context[2]. 

For a comprehensive list of LSEG's portfolio companies, you would need to refer to their latest financial reports or investor relations updates."
LRIG-NYC,Industry/Strategic,"The current companies in the portfolio of LRIG-NYC, which is a chapter of the Laboratory Robotics Interest Group (LRIG) operating in and around New York, are not explicitly listed in the provided sources. However, the sources do mention sponsorship levels and opportunities for companies to participate in the LRIG-NYC events, including the Spring Expo 2025. The sponsorship levels include:

- **Platinum Sponsors**: Companies that pay $6,000 and receive enhanced visibility, a table at all events, space for a robot/system display, a sponsored webinar slot, and quarterly social media posts[4].
- **Gold Sponsors**: Companies that pay $4,000 and receive recognition on the website, a table at the Spring Expo, and excellent branding opportunities[4].
- **Silver Sponsors**: Companies that pay $1,500 and receive listed sponsorship billing on the website, access to all events, and a discounted table at the Spring Expo[4].

However, the specific companies currently in their active portfolio are not detailed in the provided sources. For a complete list of current sponsors, you would need to visit the LRIG-NYC website or contact them directly.","The LRIG-NYC Spring Expo 2025 features vendors showcasing the latest technologies and solutions in laboratory automation, including:

- **Laboratory instrumentation**
- **Automation**
- **Software**
- **Reagents and consumables**
- **Technologies related to drug discovery, genomics, synthetic biology, and more**[1][3].

These categories indicate the types of companies that are likely participating in the event, focusing on laboratory automation and related technologies."
Ludicrous Ventures,Investor,"The current companies in the portfolio of Ludicrous Ventures are:

1. **Axiom BioVault** - Building the largest Central Asian biobank, providing connections to patients, high-quality biospecimens, and ML-ready datasets to support pre-clinical and clinical research in underrepresented geographic regions and diverse patient populations[1].

2. **Khepri** - Revolutionizing pet care with a focus on improving the lives of aging companions using proprietary bacteriophage technology[1].

3. **Quantum Computing Company (Stealth mode)** - A quantum computing company in stealth mode, details not publicly disclosed[1].","Ludicrous Ventures invests in the following categories of companies:

- **Biotechnology**: Axiom BioVault, which is building the largest Central Asian biobank and supports pre-clinical and clinical research with a focus on underrepresented geographic regions and diverse patient populations[1][2].
- **Quantum Computing**: A quantum computing company in stealth mode[1].
- **Pet Care**: Khepri, which is revolutionizing pet care with a focus on improving the lives of aging companions[1].
- **Consumer Products**: Companies targeting bacteria and restoring healthy microbiomes through bacteriophage proprietary technology[1]."
Luma Group,Investor,"The current companies in the portfolio of Luma Group are not explicitly listed in the provided sources. However, Luma Group is described as investing in pioneering life sciences companies driving the future of medicine, biotechnology, and human health, and they utilize a hands-on and collaborative approach to invest in cutting-edge scientific discoveries[1]. 

For specific companies, you would need to refer to their latest portfolio updates or investor reports, which are not detailed in the given sources. 

To get the most accurate and up-to-date information, you should contact Luma Group directly or check their official website for a list of their current portfolio companies[1].","Luma Group invests in life sciences companies, specifically in the fields of medicine, biotechnology, and human health[1]."
m]x[v Capital,Investor,"The current companies in the active portfolio of m]x[v Capital are:

1. **Alembic** (Series A investment on February 15, 2024) [3]
2. **Gynger** (incubated company) [1]
3. **Tildei** (incubated company) [1]

Note: The portfolio may have changed since the last update, but these are the companies mentioned in the provided sources as being part of their active portfolio.","m]x[v Capital invests in B2B cloud and lending, with a focus on industry disruptors. Their current portfolio includes companies in the following categories:

- **Marketing Technology**: Alembic, a Marketing Event Conversion and Correlation Engine[1].
- **Healthcare Technology**: Apploi, an all-in-one platform for healthcare hiring[1].
- **Cloud Technology**: General investments in cloud technology[2].

These categories reflect their focus on B2B cloud and lending, as well as their interest in industry disruptors."
Medical Excellence Capital,Investor,"The current companies in the active portfolio of Medical Excellence Capital are:

1. **Aspen Neuroscience**
2. **Avilar Therapeutics**
3. **GC Therapeutics**
4. **Immunitas Therapeutics**
5. **Nobias Therapeutics**
6. **Pleno**
7. **ProJenX**
8. **SonoThera, Inc.**[1]","Medical Excellence Capital (MEC) invests in the following categories of companies:

- **Cell Therapy:** Aspen Neuroscience
- **Precision Medicine:** Avilar Therapeutics
- **Synthetic Biology:** GC Therapeutics

These companies are part of MEC's portfolio, and they are located in various parts of the US, not specifically around New York[1][3][5]."
Memorial Sloan Kettering Cancer Center,Industry/Strategic,"The current companies in the portfolio of Memorial Sloan Kettering Cancer Center are:

1. **Y-mAbs Therapeutics, Inc. (US:YMAB)**
2. **ORIC Pharmaceuticals, Inc. (US:ORIC)**
3. **Caribou Biosciences, Inc. (US:CRBU)**
4. **Illumina, Inc. (US:ILMN)**
5. **VanEck ETF Trust - VanEck Gold Miners ETF (US:GDX)**

These companies are listed in the latest SEC filings and portfolio holdings of Memorial Sloan-Kettering Cancer Center[2].","Memorial Sloan Kettering Cancer Center (MSKCC) invests in the following categories of companies:

- **Life Sciences**
- **Digital Health**
- **Biotechnology**

Specifically, their portfolio includes companies such as:
- **VanEck ETF Trust - VanEck Gold Miners ETF (US:GDX)**
- **ORIC Pharmaceuticals, Inc. (US:ORIC)**
- **Y-mAbs Therapeutics, Inc. (US:YMAB)**
- **Caribou Biosciences, Inc. (US:CRBU)**
- **Illumina, Inc. (US:ILMN)**[3]."
Merck Digital Sciences Studio,Investor,"The current companies in the portfolio of Merck Digital Sciences Studio (MDSS) are:

1. **Potato AI**: Building an AI scientist to speed up discovery.
2. **ReSync Bio**: Serving as a single source of truth for preclinical operations: coordinating labs, data, and software programs on one platform.
3. **UbiquiTx**: Integrating AI, computation, and biological automation to accelerate the design of novel proteome editors.
4. **Voyant Bio**: Designing precision immunotherapies targeting immune-immune cell interactions to radically improve cancer patient treatment outcomes.

These companies were part of the third cohort of the MDSS program, as mentioned in the December 2024 update[2].","The Merck Digital Sciences Studio (MDSS) invests in startups specializing in **digital health and biotech**, with a focus on **artificial intelligence (AI) and machine learning (ML)** applications for drug discovery and development[1][2][4]. 

Here are some specific categories of companies they invest in:

- **Digital Health**
- **Biotech**
- **Artificial Intelligence (AI)**
- **Machine Learning (ML)**

These categories are reflected in the portfolio companies listed, such as Brainify.ai, Pepper Bio, and Perceiv AI[5]."
